symbol,sector,water_intensity,water_targets,env_score,social_score,gov_score,country
CLBT,Technology,,,,,,ISRAEL
CLCO,Energy,,,,,,UNITED KINGDOM
CLDI,Healthcare,,,,,,UNITED STATES
CLDT,Real Estate,,,,,,UNITED STATES
CLDX,Healthcare,,,,,,UNITED STATES
CLF,Basic Materials,,,,,,UNITED STATES
CLFD,Technology,,,,,,UNITED STATES
CLGN,Healthcare,,,,,,ISRAEL
CLH,Industrials,,,,,,UNITED STATES
CLIK,Consumer Cyclical,,,,,,HONG KONG
CLIR,Industrials,,,,,,UNITED STATES
CLLS,Healthcare,,,,,,FRANCE
CLMB,Technology,,,,,,UNITED STATES
CLMT,Basic Materials,,,,,,UNITED STATES
CLNE,Energy,,,,,,UNITED STATES
CLNN,Consumer Defensive,,,,,,UNITED STATES
CLNNW,Consumer Defensive,,,,,,UNITED STATES
CLOV,Healthcare,,,,,,UNITED STATES
CLPR,Real Estate,,,,,,UNITED STATES
CLPS,Technology,,,,,,HONG KONG
CLPT,Healthcare,,,,,,UNITED STATES
CLRB,Healthcare,,,,,,UNITED STATES
CLRO,Technology,,,,,,UNITED STATES
CLS,Technology,,,,,,CANADA
CLSD,Healthcare,,,,,,UNITED STATES
CLSK,Financial Services,,,,,,UNITED STATES
CLSKW,Financial Services,,,,,,UNITED STATES
CLST,Financial Services,,,,,,UNITED STATES
CLVT,Technology,,,,,,UNITED KINGDOM
CLW,Basic Materials,,,,,,UNITED STATES
CLWT,Industrials,,,,,,HONG KONG
CLX,Consumer Defensive,,,,,,UNITED STATES
CLYM,Healthcare,,,,,,UNITED STATES
CM,Financial Services,,,,,,CANADA
CMA,Financial Services,,,,,,UNITED STATES
CMBM,Technology,,,,,,UNITED STATES
CMBT,Energy,,,,,,BELGIUM
CMC,Basic Materials,,,,,,UNITED STATES
CMCL,Basic Materials,,,,,,JERSEY
CMCM,Communication Services,,,,,,CHINA
CMCO,Industrials,,,,,,UNITED STATES
CMCSA,Communication Services,,,,,,UNITED STATES
CMCT,Real Estate,,,,,,UNITED STATES
CMDB,Industrials,,,,,,MONACO
CME,Financial Services,,,,,,UNITED STATES
CMG,Consumer Cyclical,,,,,,UNITED STATES
CMI,Industrials,,,,,,UNITED STATES
CMMB,Healthcare,,,,,,ISRAEL
CMND,Healthcare,,,,,,CANADA
CMP,Basic Materials,,,,,,UNITED STATES
CMPO,Industrials,,,,,,UNITED STATES
CMPOW,Industrials,,,,,,UNITED STATES
CMPR,Industrials,,,,,,IRELAND
CMPS,Healthcare,,,,,,UNITED KINGDOM
CMPX,Healthcare,,,,,,UNITED STATES
CMRC,Technology,,,,,,UNITED STATES
CMRE,Industrials,,,,,,MONACO
CMS,Utilities,,,,,,UNITED STATES
CMT,Basic Materials,,,,,,UNITED STATES
CMTG,Real Estate,,,,,,UNITED STATES
CMTL,Technology,,,,,,UNITED STATES
CNA,Financial Services,,,,,,UNITED STATES
CNC,Healthcare,,,,,,UNITED STATES
CNCKW,Financial Services,,,,,,NETHERLANDS
CNDT,Technology,,,,,,UNITED STATES
CNET,Communication Services,,,,,,HONG KONG
CNEY,Basic Materials,,,,,,CHINA
CNF,Financial Services,,,,,,CHINA
CNH,Industrials,,,,,,UNITED KINGDOM
CNI,Industrials,,,,,,CANADA
CNK,Communication Services,,,,,,UNITED STATES
CNM,Industrials,,,,,,UNITED STATES
CNMD,Healthcare,,,,,,UNITED STATES
CNNE,Consumer Cyclical,,,,,,UNITED STATES
CNO,Financial Services,,,,,,UNITED STATES
CNOB,Financial Services,,,,,,UNITED STATES
CNOBP,Financial Services,,,,,,UNITED STATES
CNP,Utilities,,,,,,UNITED STATES
CNQ,Energy,,,,,,CANADA
CNR,Energy,,,,,,UNITED STATES
CNS,Financial Services,,,,,,UNITED STATES
CNSP,Healthcare,,,,,,UNITED STATES
CNTA,Healthcare,,,,,,UNITED KINGDOM
CNTB,Healthcare,,,,,,UNITED STATES
CNTX,Healthcare,,,,,,UNITED STATES
CNTY,Consumer Cyclical,,,,,,UNITED STATES
CNVS,Communication Services,,,,,,UNITED STATES
CNX,Energy,,,,,,UNITED STATES
CNXC,Technology,,,,,,UNITED STATES
CNXN,Technology,,,,,,UNITED STATES
COCH,Healthcare,,,,,,UNITED STATES
COCHW,Healthcare,,,,,,UNITED STATES
COCO,Consumer Defensive,,,,,,UNITED STATES
COCP,Healthcare,,,,,,UNITED STATES
CODA,Industrials,,,,,,UNITED STATES
CODI,Industrials,,,,,,UNITED STATES
CODX,Healthcare,,,,,,UNITED STATES
COE,Consumer Defensive,,,,,,SINGAPORE
COEP,Healthcare,,,,,,UNITED STATES
COF,Financial Services,,,,,,UNITED STATES
COFS,Financial Services,,,,,,UNITED STATES
COGT,Healthcare,,,,,,UNITED STATES
COHN,Financial Services,,,,,,UNITED STATES
COHR,Technology,,,,,,UNITED STATES
COHU,Technology,,,,,,UNITED STATES
COIN,Financial Services,,,,,,UNITED STATES
COKE,Consumer Defensive,,,,,,UNITED STATES
COLA,Financial Services,,,,,,SINGAPORE
COLAR,,,,,,,SINGAPORE
COLAU,Financial Services,,,,,,SINGAPORE
COLB,Financial Services,,,,,,UNITED STATES
COLD,Real Estate,,,,,,UNITED STATES
COLL,Healthcare,,,,,,UNITED STATES
COLM,Consumer Cyclical,,,,,,UNITED STATES
COMM,Technology,,,,,,UNITED STATES
COMP,Real Estate,,,,,,UNITED STATES
CON,Healthcare,,,,,,UNITED STATES
COO,Healthcare,,,,,,UNITED STATES
COOK,Consumer Cyclical,,,,,,UNITED STATES
COOT,Consumer Defensive,,,,,,AUSTRALIA
COOTW,Consumer Defensive,,,,,,AUSTRALIA
COP,Energy,,,,,,UNITED STATES
COR,Healthcare,,,,,,UNITED STATES
CORT,Healthcare,,,,,,UNITED STATES
CORZ,Technology,,,,,,UNITED STATES
CORZW,Technology,,,,,,UNITED STATES
CORZZ,Technology,,,,,,UNITED STATES
COSM,Healthcare,,,,,,UNITED STATES
COST,Consumer Defensive,,,,,,UNITED STATES
COTY,Consumer Defensive,,,,,,UNITED STATES
COUR,Consumer Defensive,,,,,,UNITED STATES
COYA,Healthcare,,,,,,UNITED STATES
CP,Industrials,,,,,,CANADA
CPA,Industrials,,,,,,PANAMA
CPAC,Basic Materials,,,,,,PERU
CPAY,Technology,,,,,,UNITED STATES
CPB,Consumer Defensive,,,,,,UNITED STATES
CPBI,Financial Services,,,,,,UNITED STATES
CPF,Financial Services,,,,,,UNITED STATES
CPHC,Consumer Cyclical,,,,,,UNITED STATES
CPHI,Healthcare,,,,,,CHINA
CPIX,Healthcare,,,,,,UNITED STATES
CPK,Utilities,,,,,,UNITED STATES
CPNG,Consumer Cyclical,,,,,,UNITED STATES
CPOP,Communication Services,,,,,,CHINA
CPRI,Consumer Cyclical,,,,,,UNITED KINGDOM
CPRT,Industrials,,,,,,UNITED STATES
CPRX,Healthcare,,,,,,UNITED STATES
CPS,Consumer Cyclical,,,,,,UNITED STATES
CPSH,Technology,,,,,,UNITED STATES
CPSS,Financial Services,,,,,,UNITED STATES
CPT,Real Estate,,,,,,UNITED STATES
CPZ,Financial Services,,,,,,UNITED STATES
CQP,Energy,,,,,,UNITED STATES
CR,Industrials,,,,,,UNITED STATES
CRACU,Financial Services,,,,,,CAYMAN ISLANDS
CRAI,Industrials,,,,,,UNITED STATES
CRBG,Financial Services,,,,,,UNITED STATES
CRBP,Healthcare,,,,,,UNITED STATES
CRBU,Healthcare,,,,,,UNITED STATES
CRC,Energy,,,,,,UNITED STATES
CRCL,Financial Services,,,,,,UNITED STATES
CRCT,Technology,,,,,,UNITED STATES
CRD-A,Financial Services,,,,,,UNITED STATES
CRD-B,Financial Services,,,,,,UNITED STATES
CRDF,Healthcare,,,,,,UNITED STATES
CRDL,Healthcare,,,,,,CANADA
CRDO,Technology,,,,,,CAYMAN ISLANDS
CRE,Industrials,,,,,,HONG KONG
CREG,Utilities,,,,,,CHINA
CRESW,Industrials,,,,,,ARGENTINA
CRESY,Industrials,,,,,,ARGENTINA
CREV,Consumer Cyclical,,,,,,AUSTRALIA
CREVW,Consumer Cyclical,,,,,,AUSTRALIA
CREX,Technology,,,,,,UNITED STATES
CRGO,Industrials,,,,,,SPAIN
CRGOW,Industrials,,,,,,SPAIN
CRGY,Energy,,,,,,UNITED STATES
CRH,Basic Materials,,,,,,IRELAND
CRI,Consumer Cyclical,,,,,,UNITED STATES
CRIS,Healthcare,,,,,,UNITED STATES
CRK,Energy,,,,,,UNITED STATES
CRL,Healthcare,,,,,,UNITED STATES
CRM,Technology,,,,,,UNITED STATES
CRMD,Healthcare,,,,,,UNITED STATES
CRML,Basic Materials,,,,,,BRITISH VIRGIN ISLANDS
CRMLW,Basic Materials,,,,,,BRITISH VIRGIN ISLANDS
CRMT,Consumer Cyclical,,,,,,UNITED STATES
CRNC,Technology,,,,,,UNITED STATES
CRNT,Technology,,,,,,ISRAEL
CRNX,Healthcare,,,,,,UNITED STATES
CRON,Healthcare,,,,,,CANADA
CROX,Consumer Cyclical,,,,,,UNITED STATES
CRS,Industrials,,,,,,UNITED STATES
CRSP,Healthcare,,,,,,SWITZERLAND
CRSR,Technology,,,,,,UNITED STATES
CRT,Energy,,,,,,UNITED STATES
CRTO,Communication Services,,,,,,FRANCE
CRUS,Technology,,,,,,UNITED STATES
CRVL,Financial Services,,,,,,UNITED STATES
CRVO,Healthcare,,,,,,UNITED STATES
CRVS,Healthcare,,,,,,UNITED STATES
CRWD,Technology,,,,,,UNITED STATES
CRWS,Consumer Cyclical,,,,,,UNITED STATES
CRWV,Technology,,,,,,UNITED STATES
CSAI,Technology,,,,,,UNITED STATES
CSAN,Energy,,,,,,BRAZIL
CSBR,Healthcare,,,,,,UNITED STATES
CSCO,Technology,,,,,,UNITED STATES
CSGP,Real Estate,,,,,,UNITED STATES
CSGS,Technology,,,,,,UNITED STATES
CSIQ,Technology,,,,,,CANADA
CSL,Industrials,,,,,,UNITED STATES
CSLMF,Financial Services,,,,,,UNITED STATES
CSPI,Technology,,,,,,UNITED STATES
CSR,Real Estate,,,,,,UNITED STATES
CSTE,Industrials,,,,,,ISRAEL
CSTL,Healthcare,,,,,,UNITED STATES
CSTM,Basic Materials,,,,,,FRANCE
CSV,Consumer Cyclical,,,,,,UNITED STATES
CSW,Industrials,,,,,,UNITED STATES
CSWC,Financial Services,,,,,,UNITED STATES
CSX,Industrials,,,,,,UNITED STATES
CTAS,Industrials,,,,,,UNITED STATES
CTBI,Financial Services,,,,,,UNITED STATES
CTEV,Healthcare,,,,,,UNITED STATES
CTGO,Basic Materials,,,,,,UNITED STATES
CTKB,Healthcare,,,,,,UNITED STATES
CTLP,Technology,,,,,,UNITED STATES
CTM,Technology,,,,,,UNITED STATES
CTMX,Healthcare,,,,,,UNITED STATES
CTNM,Healthcare,,,,,,UNITED STATES
CTNT,Industrials,,,,,,UNITED STATES
CTO,Real Estate,,,,,,UNITED STATES
CTOR,Healthcare,,,,,,UNITED STATES
CTOS,Industrials,,,,,,UNITED STATES
CTRA,Energy,,,,,,UNITED STATES
CTRE,Real Estate,,,,,,UNITED STATES
CTRI,Utilities,,,,,,UNITED STATES
CTRM,Industrials,,,,,,CYPRUS
CTRN,Consumer Cyclical,,,,,,UNITED STATES
CTS,Technology,,,,,,UNITED STATES
CTSH,Technology,,,,,,UNITED STATES
CTSO,Healthcare,,,,,,UNITED STATES
CTVA,Basic Materials,,,,,,UNITED STATES
CTW,Communication Services,,,,,,JAPAN
CTXR,Healthcare,,,,,,UNITED STATES
CUB,Financial Services,,,,,,UNITED STATES
CUBE,Real Estate,,,,,,UNITED STATES
CUBI,Financial Services,,,,,,UNITED STATES
CUBT,Healthcare,,,,,,UNITED STATES
CUBWU,Financial Services,,,,,,UNITED STATES
CUBWW,Financial Services,,,,,,UNITED STATES
CUE,Healthcare,,,,,,UNITED STATES
CUK,Consumer Cyclical,,,,,,UNITED STATES
CULP,Consumer Cyclical,,,,,,UNITED STATES
CUPR,Healthcare,,,,,,SINGAPORE
CURB,Real Estate,,,,,,UNITED STATES
CURI,Communication Services,,,,,,UNITED STATES
CURR,Technology,,,,,,SINGAPORE
CURV,Consumer Cyclical,,,,,,UNITED STATES
CURX,Healthcare,,,,,,UNITED STATES
CUZ,Real Estate,,,,,,UNITED STATES
CV,Healthcare,,,,,,UNITED STATES
CVAC,Healthcare,,,,,,GERMANY
CVBF,Financial Services,,,,,,UNITED STATES
CVCO,Consumer Cyclical,,,,,,UNITED STATES
CVE,Energy,,,,,,CANADA
CVEO,Consumer Cyclical,,,,,,UNITED STATES
CVGI,Consumer Cyclical,,,,,,UNITED STATES
CVGW,Consumer Defensive,,,,,,UNITED STATES
CVI,Energy,,,,,,UNITED STATES
CVKD,Healthcare,,,,,,UNITED STATES
CVLG,Industrials,,,,,,UNITED STATES
CVLT,Technology,,,,,,UNITED STATES
CVM,Healthcare,,,,,,UNITED STATES
CVNA,Consumer Cyclical,,,,,,UNITED STATES
CVR,Industrials,,,,,,UNITED STATES
CVRX,Healthcare,,,,,,UNITED STATES
CVS,Healthcare,,,,,,UNITED STATES
CVU,Industrials,,,,,,UNITED STATES
CVV,Industrials,,,,,,UNITED STATES
CVX,Energy,,,,,,UNITED STATES
CW,Industrials,,,,,,UNITED STATES
CWAN,Technology,,,,,,UNITED STATES
CWBC,Financial Services,,,,,,UNITED STATES
CWCO,Utilities,,,,,,CAYMAN ISLANDS
CWD,Financial Services,,,,,,UNITED STATES
CWEN,Utilities,,,,,,UNITED STATES
CWEN-A,Utilities,,,,,,UNITED STATES
CWH,Consumer Cyclical,,,,,,UNITED STATES
CWK,Real Estate,,,,,,UNITED STATES
CWST,Industrials,,,,,,UNITED STATES
CWT,Utilities,,,,,,UNITED STATES
CX,Basic Materials,,,,,,MEXICO
CXAI,Technology,,,,,,UNITED STATES
CXDO,Communication Services,,,,,,UNITED STATES
CXM,Technology,,,,,,UNITED STATES
CXT,Industrials,,,,,,UNITED STATES
CXW,Industrials,,,,,,UNITED STATES
CYBN,Healthcare,,,,,,CANADA
CYBR,Technology,,,,,,ISRAEL
CYCN,Healthcare,,,,,,UNITED STATES
CYCUW,Technology,,,,,,UNITED STATES
CYD,Consumer Cyclical,,,,,,SINGAPORE
CYH,Healthcare,,,,,,UNITED STATES
CYN,Technology,,,,,,UNITED STATES
CYRX,Industrials,,,,,,UNITED STATES
CYTK,Healthcare,,,,,,UNITED STATES
CZFS,Financial Services,,,,,,UNITED STATES
CZNC,Financial Services,,,,,,UNITED STATES
CZR,Consumer Cyclical,,,,,,UNITED STATES
CZWI,Financial Services,,,,,,UNITED STATES
D,Utilities,,,,,,UNITED STATES
DAAQ,Financial Services,,,,,,UNITED STATES
DAAQU,Financial Services,,,,,,UNITED STATES
DAAQW,Financial Services,,,,,,UNITED STATES
DAC,Industrials,,,,,,GREECE
DAIC,Technology,,,,,,UNITED STATES
DAICW,Technology,,,,,,UNITED STATES
DAIO,Technology,,,,,,UNITED STATES
DAKT,Technology,,,,,,UNITED STATES
DAL,Industrials,,,,,,UNITED STATES
DALN,Communication Services,,,,,,UNITED STATES
DAN,Consumer Cyclical,,,,,,UNITED STATES
DAO,Consumer Defensive,,,,,,CHINA
DAR,Consumer Defensive,,,,,,UNITED STATES
DARE,Healthcare,,,,,,UNITED STATES
DASH,Consumer Cyclical,,,,,,UNITED STATES
DAVA,Technology,,,,,,UNITED KINGDOM
DAVE,Technology,,,,,,UNITED STATES
DAVEW,Technology,,,,,,UNITED STATES
DAWN,Healthcare,,,,,,UNITED STATES
DAY,Technology,,,,,,UNITED STATES
DB,Financial Services,,,,,,GERMANY
DBGI,Consumer Cyclical,,,,,,UNITED STATES
DBI,Consumer Cyclical,,,,,,UNITED STATES
DBRG,Financial Services,,,,,,UNITED STATES
DBVT,Healthcare,,,,,,FRANCE
DBX,Technology,,,,,,UNITED STATES
DC,Basic Materials,,,,,,UNITED STATES
DCBO,Technology,,,,,,CANADA
DCGO,Healthcare,,,,,,UNITED STATES
DCI,Industrials,,,,,,UNITED STATES
DCO,Industrials,,,,,,UNITED STATES
DCOM,Financial Services,,,,,,UNITED STATES
DCOMG,,,,,,,UNITED STATES
DCOMP,Financial Services,,,,,,UNITED STATES
DCTH,Healthcare,,,,,,UNITED STATES
DD,Basic Materials,,,,,,UNITED STATES
DDC,Consumer Defensive,,,,,,UNITED STATES
DDD,Technology,,,,,,UNITED STATES
DDFN,,,,,,,UNITED STATES
DDI,Communication Services,,,,,,SOUTH KOREA
DDL,Consumer Defensive,,,,,,CHINA
DDOG,Technology,,,,,,UNITED STATES
DDS,Consumer Cyclical,,,,,,UNITED STATES
DDTN,,,,,,,UNITED STATES
DE,Industrials,,,,,,UNITED STATES
DEA,Real Estate,,,,,,UNITED STATES
DEC,Energy,,,,,,UNITED STATES
DECK,Consumer Cyclical,,,,,,UNITED STATES
DEFT,Financial Services,,,,,,CANADA
DEI,Real Estate,,,,,,UNITED STATES
DELL,Technology,,,,,,UNITED STATES
DENN,Consumer Cyclical,,,,,,UNITED STATES
DEO,Consumer Defensive,,,,,,UNITED KINGDOM
DERM,Healthcare,,,,,,UNITED STATES
DEVS,Industrials,,,,,,CANADA
DFDV,Technology,,,,,,UNITED STATES
DFH,Consumer Cyclical,,,,,,UNITED STATES
DFIN,Technology,,,,,,UNITED STATES
DFLI,Industrials,,,,,,UNITED STATES
DFLIW,Industrials,,,,,,UNITED STATES
DFSC,Industrials,,,,,,CANADA
DFSCW,Industrials,,,,,,CANADA
DG,Consumer Defensive,,,,,,UNITED STATES
DGICA,Financial Services,,,,,,UNITED STATES
DGICB,Financial Services,,,,,,UNITED STATES
DGII,Technology,,,,,,UNITED STATES
DGLY,Communication Services,,,,,,UNITED STATES
DGNX,Industrials,,,,,,UNITED KINGDOM
DGX,Healthcare,,,,,,UNITED STATES
DGXX,Utilities,,,,,,UNITED STATES
DH,Healthcare,,,,,,UNITED STATES
DHAI,Healthcare,,,,,,UNITED STATES
DHAIW,Healthcare,,,,,,UNITED STATES
DHC,Real Estate,,,,,,UNITED STATES
DHI,Consumer Cyclical,,,,,,UNITED STATES
DHIL,Financial Services,,,,,,UNITED STATES
DHR,Healthcare,,,,,,UNITED STATES
DHT,Energy,,,,,,BERMUDA
DHX,Technology,,,,,,UNITED STATES
DIBS,Consumer Cyclical,,,,,,UNITED STATES
DIN,Consumer Cyclical,,,,,,UNITED STATES
DINO,Energy,,,,,,UNITED STATES
DIOD,Technology,,,,,,UNITED STATES
DIS,Communication Services,,,,,,UNITED STATES
DIT,Consumer Defensive,,,,,,UNITED STATES
DJCO,Technology,,,,,,UNITED STATES
DJT,Communication Services,,,,,,UNITED STATES
DJTWW,Communication Services,,,,,,UNITED STATES
DK,Energy,,,,,,UNITED STATES
DKI,Communication Services,,,,,,HONG KONG
DKL,Energy,,,,,,UNITED STATES
DKNG,Consumer Cyclical,,,,,,UNITED STATES
DKS,Consumer Cyclical,,,,,,UNITED STATES
DLB,Industrials,,,,,,UNITED STATES
DLHC,Industrials,,,,,,UNITED STATES
DLNG,Energy,,,,,,GREECE
DLO,Technology,,,,,,URUGUAY
DLPN,Communication Services,,,,,,UNITED STATES
DLR,Real Estate,,,,,,UNITED STATES
DLTH,Consumer Cyclical,,,,,,UNITED STATES
DLTR,Consumer Defensive,,,,,,UNITED STATES
DLX,Industrials,,,,,,UNITED STATES
DLXY,Energy,,,,,,SINGAPORE
DLY,Financial Services,,,,,,UNITED STATES
DMA,Financial Services,,,,,,UNITED STATES
DMAA,Financial Services,,,,,,UNITED STATES
DMAAR,,,,,,,UNITED STATES
DMAAU,Financial Services,,,,,,UNITED STATES
DMAC,Healthcare,,,,,,UNITED STATES
DMIIU,Financial Services,,,,,,UNITED STATES
DMLP,Energy,,,,,,UNITED STATES
DMRC,Technology,,,,,,UNITED STATES
DNA,Healthcare,,,,,,UNITED STATES
DNLI,Healthcare,,,,,,UNITED STATES
DNMXU,Financial Services,,,,,,UNITED STATES
DNN,Energy,,,,,,CANADA
DNOW,Industrials,,,,,,UNITED STATES
DNTH,Healthcare,,,,,,UNITED STATES
DNUT,Consumer Defensive,,,,,,UNITED STATES
DOC,Real Estate,,,,,,UNITED STATES
DOCN,Technology,,,,,,UNITED STATES
DOCS,Healthcare,,,,,,UNITED STATES
DOCU,Technology,,,,,,UNITED STATES
DOGZ,Consumer Cyclical,,,,,,CHINA
DOLE,Consumer Defensive,,,,,,IRELAND
DOMH,Financial Services,,,,,,UNITED STATES
DOMO,Technology,,,,,,UNITED STATES
DOOO,Consumer Cyclical,,,,,,CANADA
DORM,Consumer Cyclical,,,,,,UNITED STATES
DOUG,Real Estate,,,,,,UNITED STATES
DOV,Industrials,,,,,,UNITED STATES
DOW,Basic Materials,,,,,,UNITED STATES
DOX,Technology,,,,,,UNITED STATES
DOYU,Communication Services,,,,,,CHINA
DPRO,Industrials,,,,,,CANADA
DPZ,Consumer Cyclical,,,,,,UNITED STATES
DQ,Technology,,,,,,CHINA
DRCT,Communication Services,,,,,,UNITED STATES
DRD,Basic Materials,,,,,,SOUTH AFRICA
DRDB,Financial Services,,,,,,UNITED STATES
DRDBU,Financial Services,,,,,,UNITED STATES
DRDBW,Financial Services,,,,,,UNITED STATES
DRH,Real Estate,,,,,,UNITED STATES
DRI,Consumer Cyclical,,,,,,UNITED STATES
DRIO,Healthcare,,,,,,UNITED STATES
DRKY,,,,,,,UNITED STATES
DRMA,Healthcare,,,,,,UNITED STATES
DRMAW,Healthcare,,,,,,UNITED STATES
DRS,Industrials,,,,,,UNITED STATES
DRTS,Healthcare,,,,,,ISRAEL
DRTSW,Healthcare,,,,,,ISRAEL
DRUG,Healthcare,,,,,,UNITED STATES
DRVN,Consumer Cyclical,,,,,,UNITED STATES
DSGN,Healthcare,,,,,,UNITED STATES
DSGR,Industrials,,,,,,UNITED STATES
DSGX,Technology,,,,,,CANADA
DSP,Technology,,,,,,UNITED STATES
DSS,Consumer Cyclical,,,,,,UNITED STATES
DSWL,Technology,,,,,,MACAU
DSX,Industrials,,,,,,GREECE
DSY,Consumer Defensive,,,,,,CHINA
DSYWW,Consumer Defensive,,,,,,CHINA
DT,Technology,,,,,,UNITED STATES
DTCK,Consumer Defensive,,,,,,SINGAPORE
DTE,Utilities,,,,,,UNITED STATES
DTIL,Healthcare,,,,,,UNITED STATES
DTM,Energy,,,,,,UNITED STATES
DTSQ,Financial Services,,,,,,UNITED STATES
DTSQR,,,,,,,UNITED STATES
DTSQU,Financial Services,,,,,,UNITED STATES
DTSS,Technology,,,,,,CHINA
DTST,Technology,,,,,,UNITED STATES
DTSTW,Technology,,,,,,UNITED STATES
DUET,Financial Services,,,,,,MALAYSIA
DUETU,Financial Services,,,,,,MALAYSIA
DUETW,Financial Services,,,,,,MALAYSIA
DUK,Utilities,,,,,,UNITED STATES
DUO,Real Estate,,,,,,CHINA
DUOL,Technology,,,,,,UNITED STATES
DUOT,Technology,,,,,,UNITED STATES
DV,Communication Services,,,,,,UNITED STATES
DVA,Healthcare,,,,,,UNITED STATES
DVAX,Healthcare,,,,,,UNITED STATES
DVLT,Technology,,,,,,UNITED STATES
DVN,Energy,,,,,,UNITED STATES
DVS,Basic Materials,,,,,,CANADA
DWSN,Energy,,,,,,UNITED STATES
DWTX,Healthcare,,,,,,UNITED STATES
DX,Real Estate,,,,,,UNITED STATES
DXC,Technology,,,,,,UNITED STATES
DXCM,Healthcare,,,,,,UNITED STATES
DXF,Financial Services,,,,,,CHINA
DXLG,Consumer Cyclical,,,,,,UNITED STATES
DXPE,Industrials,,,,,,UNITED STATES
DXR,Healthcare,,,,,,UNITED STATES
DXST,Industrials,,,,,,CHINA
DXYZ,Financial Services,,,,,,UNITED STATES
DY,Industrials,,,,,,UNITED STATES
DYAI,Healthcare,,,,,,UNITED STATES
DYCQ,Financial Services,,,,,,UNITED KINGDOM
DYCQR,,,,,,,UNITED KINGDOM
DYCQU,Financial Services,,,,,,UNITED KINGDOM
DYN,Healthcare,,,,,,UNITED STATES
DYORU,Financial Services,,,,,,UNITED STATES
E,Energy,,,,,,ITALY
EA,Communication Services,,,,,,UNITED STATES
EAF,Industrials,,,,,,UNITED STATES
EARN,Financial Services,,,,,,UNITED STATES
EASY,,,,,,,UNITED STATES
EAT,Consumer Cyclical,,,,,,UNITED STATES
EB,Communication Services,,,,,,UNITED STATES
EBAY,Consumer Cyclical,,,,,,UNITED STATES
EBC,Financial Services,,,,,,UNITED STATES
EBF,Industrials,,,,,,UNITED STATES
EBMT,Financial Services,,,,,,UNITED STATES
EBON,Technology,,,,,,CHINA
EBR,Utilities,,,,,,BRAZIL
EBR-B,Utilities,,,,,,BRAZIL
EBS,Healthcare,,,,,,UNITED STATES
EC,Energy,,,,,,COLOMBIA
ECAT,Financial Services,,,,,,UNITED STATES
ECBK,Financial Services,,,,,,UNITED STATES
ECCC,Financial Services,,,,,,UNITED STATES
ECDA,Consumer Cyclical,,,,,,UNITED STATES
ECDAW,Consumer Cyclical,,,,,,UNITED STATES
ECG,Industrials,,,,,,UNITED STATES
ECL,Basic Materials,,,,,,UNITED STATES
ECO,Industrials,,,,,,GREECE
ECOR,Healthcare,,,,,,UNITED STATES
ECPG,Financial Services,,,,,,UNITED STATES
ECVT,Basic Materials,,,,,,UNITED STATES
ECX,Consumer Cyclical,,,,,,CHINA
ECXWW,Consumer Cyclical,,,,,,CHINA
ED,Utilities,,,,,,UNITED STATES
EDAP,Healthcare,,,,,,FRANCE
EDBL,Consumer Defensive,,,,,,UNITED STATES
EDBLW,Consumer Defensive,,,,,,UNITED STATES
EDHL,Communication Services,,,,,,HONG KONG
EDIT,Healthcare,,,,,,UNITED STATES
EDN,Utilities,,,,,,ARGENTINA
EDRY,Industrials,,,,,,GREECE
EDSA,Healthcare,,,,,,CANADA
EDTK,Consumer Defensive,,,,,,CHINA
EDU,Consumer Defensive,,,,,,CHINA
EDUC,Communication Services,,,,,,UNITED STATES
EE,Energy,,,,,,UNITED STATES
EEFT,Technology,,,,,,UNITED STATES
EEIQ,Consumer Defensive,,,,,,UNITED STATES
EEX,Communication Services,,,,,,UNITED STATES
EFC,Real Estate,,,,,,UNITED STATES
EFOI,Consumer Cyclical,,,,,,UNITED STATES
EFSC,Financial Services,,,,,,UNITED STATES
EFSCP,Financial Services,,,,,,UNITED STATES
EFTR,Healthcare,,,,,,UNITED STATES
EFX,Industrials,,,,,,UNITED STATES
EFXT,Energy,,,,,,CANADA
EG,Financial Services,,,,,,BERMUDA
EGAN,Technology,,,,,,UNITED STATES
EGBN,Financial Services,,,,,,UNITED STATES
EGG,Industrials,,,,,,SINGAPORE
EGHA,Financial Services,,,,,,UNITED STATES
EGHAR,,,,,,,UNITED STATES
EGHAU,Financial Services,,,,,,UNITED STATES
EGHT,Technology,,,,,,UNITED STATES
EGO,Basic Materials,,,,,,CANADA
EGP,Real Estate,,,,,,UNITED STATES
EGY,Energy,,,,,,UNITED STATES
EH,Industrials,,,,,,CHINA
EHAB,Healthcare,,,,,,UNITED STATES
EHC,Healthcare,,,,,,UNITED STATES
EHGO,Industrials,,,,,,CHINA
EHLD,Industrials,,,,,,GREECE
EHTH,Financial Services,,,,,,UNITED STATES
EIC,Financial Services,,,,,,UNITED STATES
EICA,Financial Services,,,,,,UNITED STATES
EICB,Financial Services,,,,,,UNITED STATES
EIG,Financial Services,,,,,,UNITED STATES
EIX,Utilities,,,,,,UNITED STATES
EJH,Consumer Cyclical,,,,,,CHINA
EKSO,Healthcare,,,,,,UNITED STATES
EL,Consumer Defensive,,,,,,UNITED STATES
ELA,Consumer Cyclical,,,,,,UNITED STATES
ELAB,Healthcare,,,,,,UNITED STATES
ELAN,Healthcare,,,,,,UNITED STATES
ELBM,Basic Materials,,,,,,CANADA
