symbol,name,ml_score_raw,ml_score
OPT,Opthea Ltd,0.6499777208869664,50.0
ONCY,Oncolytics Biotech Inc,0.6499777208869664,50.0
OPTN,OptiNose Inc,0.6499777208869664,50.0
ORRF,Orrstown Financial Services Inc,0.6499777208869664,50.0
ORO,Arrow Valtoro ETF,0.6499777208869664,50.0
ORN,Orion Group Holdings Inc,0.6499777208869664,50.0
ORMP,Oramed Pharmaceuticals Inc,0.6499777208869664,50.0
ORLY,O`Reilly Automotive Inc,0.6499777208869664,50.0
ORLA,Orla Mining Ltd,0.6499777208869664,50.0
ORKT,Orangekloud Technology Inc - Class A,0.6499777208869664,50.0
ORKA,ARCA biopharma Inc,0.6499777208869664,50.0
ORIS,Oriental Rise Holdings Ltd,0.6499777208869664,50.0
ORIQW,Origin Investment Corp I onehalf of one redeemable warrant.,0.6499777208869664,50.0
ORIQU,Origin Investment Corp I - Units (1 Ord Cls & 1/2 War),0.6499777208869664,50.0
ORIQ,Origin Investment Corp I,0.6499777208869664,50.0
ORIC,ORIC Pharmaceuticals Inc,0.6499777208869664,50.0
ORI,Old Republic International Corp,0.6499777208869664,50.0
ORGO,Organogenesis Holdings Inc - Class A,0.6499777208869664,50.0
ORGNW,Origin Materials Inc - Warrants (23/06/2026),0.6499777208869664,50.0
ORGN,Origin Materials Inc,0.6499777208869664,50.0
ORCL,Oracle Corp,0.6499777208869664,50.0
ORC,Orchid Island Capital Inc,0.6499777208869664,50.0
ORBS,Eightco Holdings Inc,0.6499777208869664,50.0
ORA,Ormat Technologies Inc,0.6499777208869664,50.0
OR,Osisko Gold Royalties Ltd,0.6499777208869664,50.0
OPY,Oppenheimer Holdings Inc - Class A,0.6499777208869664,50.0
OPXS,Optex Systems Holdings Inc,0.6499777208869664,50.0
OPTXW,Syntec Optics Holdings Inc Wt Exp,0.6499777208869664,50.0
OPTX,NETOPTIX CORP,0.6499777208869664,50.0
OPTT,Ocean Power Technologies - Reg S,0.6499777208869664,50.0
ONDS,Ondas Holdings Inc,0.6499777208869664,50.0
ONCT,Oncternal Therapeutics Inc,0.6499777208869664,50.0
NMPAU,NMP Acquisition Corp - Units (1 Ord Cls A & 1 Rts),0.6499777208869664,50.0
OKUR,Reneo Pharmaceuticals Inc - Class A,0.6499777208869664,50.0
OKTA,Okta Inc - Class A,0.6499777208869664,50.0
OKLO,Oklo Inc,0.6499777208869664,50.0
OKE,Oneok Inc,0.6499777208869664,50.0
OIS,Oil States International Inc,0.6499777208869664,50.0
OII,Oceaneering International Inc,0.6499777208869664,50.0
OI,O-I Glass Inc,0.6499777208869664,50.0
OHPAW,Orion Acquisition Corp - Warrants (19/02/2026),0.6499777208869664,50.0
OHPAU,Orion Acquisition Corp - Units (1 Ord Share Class A & 1/4 War),0.6499777208869664,50.0
OHPA,Orion Acquisition Corp - Class A,0.6499777208869664,50.0
OHI,Omega Healthcare Investors Inc,0.6499777208869664,50.0
OGS,ONE Gas Inc,0.6499777208869664,50.0
OGN,Organon & Company,0.6499777208869664,50.0
OGI,OrganiGram Holdings Inc,0.6499777208869664,50.0
OGEN,Oragenics Inc,0.6499777208869664,50.0
OGE,Oge Energy Corp,0.6499777208869664,50.0
OGCP,Empire State Realty OP LP,0.6499777208869664,50.0
OFSSO,OFS Capital Corp,0.6499777208869664,50.0
OFSSH,OFS Capital Corp,0.6499777208869664,50.0
OFS,OFS Capital Corp,0.6499777208869664,50.0
OFLX,Omega Flex Inc,0.6499777208869664,50.0
OFIX,Orthofix Medical Inc,0.6499777208869664,50.0
OFG,OFG Bancorp,0.6499777208869664,50.0
OFAL,OFA Group,0.6499777208869664,50.0
OESX,Orion Energy Systems Inc,0.6499777208869664,50.0
OEC,Orion S.A,0.6499777208869664,50.0
ODVWZ,Osisko Development Corp - Warrants (27/05/2027),0.6499777208869664,50.0
ODV,Osisko Development Corp,0.6499777208869664,50.0
OKTX,Tradr 2X Long OKTA Daily ETF,0.6499777208869664,50.0
OKYO,OKYO Pharma Ltd - New,0.6499777208869664,50.0
ONCO,Onconetix Inc,0.6499777208869664,50.0
OLB,OLB Group Inc,0.6499777208869664,50.0
ONCHW,1RT Acquisition Corp Warrant,0.6499777208869664,50.0
ONCHU,1RT Acquisition Corp - Units (1 Ord Cls A & 1 War),0.6499777208869664,50.0
ONCH,1RT Acquisition Corp,0.6499777208869664,50.0
ONC,BeiGene Ltd,0.6499777208869664,50.0
ONBPP,Old National Bancorp,0.6499777208869664,50.0
